Level	Amazon	Sorceress	Necromancer	Paladin	Barbarian	Druid	Assassin	ExpRatio
37	13815086	13815086	13815086	13815086	13815086	13815086	13815086	10240
38	15468534	15468534	15468534	15468534	15468534	15468534	15468534	10240
39	17270791	17270791	17270791	17270791	17270791	17270791	17270791	10240
40	19235252	19235252	19235252	19235252	19235252	19235252	19235252	10240
41	21376515	21376515	21376515	21376515	21376515	21376515	21376515	10240
42	23710491	23710491	23710491	23710491	23710491	23710491	23710491	10240
43	26254525	26254525	26254525	26254525	26254525	26254525	26254525	10240
44	29027522	29027522	29027522	29027522	29027522	29027522	29027522	10240
45	32050088	32050088	32050088	32050088	32050088	32050088	32050088	10240
46	35344686	35344686	35344686	35344686	35344686	35344686	35344686	10240
47	38935798	38935798	38935798	38935798	38935798	38935798	38935798	10240
48	42850109	42850109	42850109	42850109	42850109	42850109	42850109	10240
49	47116709	47116709	47116709	47116709	47116709	47116709	47116709	10240
50	51767302	51767302	51767302	51767302	51767302	51767302	51767302	10240
51	56836449	56836449	56836449	56836449	56836449	56836449	56836449	10240
52	62361819	62361819	62361819	62361819	62361819	62361819	62361819	10240
53	68384473	68384473	68384473	68384473	68384473	68384473	68384473	10240
54	74949165	74949165	74949165	74949165	74949165	74949165	74949165	10240
55	82104680	82104680	82104680	82104680	82104680	82104680	82104680	10240
56	89904191	89904191	89904191	89904191	89904191	89904191	89904191	10240
57	98405658	98405658	98405658	98405658	98405658	98405658	98405658	10240
58	107672256	107672256	107672256	107672256	107672256	107672256	107672256	10240
59	117772849	117772849	117772849	117772849	117772849	117772849	117772849	10240
60	128782495	128782495	128782495	128782495	128782495	128782495	128782495	1024
61	140783010	140783010	140783010	140783010	140783010	140783010	140783010	1024
62	153863570	153863570	153863570	153863570	153863570	153863570	153863570	1024
63	168121381	168121381	168121381	168121381	168121381	168121381	168121381	1024
64	183662396	183662396	183662396	183662396	183662396	183662396	183662396	1024
65	200602101	200602101	200602101	200602101	200602101	200602101	200602101	1024
66	219066380	219066380	219066380	219066380	219066380	219066380	219066380	1024
67	239192444	239192444	239192444	239192444	239192444	239192444	239192444	1024
68	261129853	261129853	261129853	261129853	261129853	261129853	261129853	1024
69	285041630	285041630	285041630	285041630	285041630	285041630	285041630	1024
70	311105466	311105466	311105466	311105466	311105466	311105466	311105466	976
71	339515048	339515048	339515048	339515048	339515048	339515048	339515048	928
72	370481492	370481492	370481492	370481492	370481492	370481492	370481492	880
73	404234916	404234916	404234916	404234916	404234916	404234916	404234916	832
74	441026148	441026148	441026148	441026148	441026148	441026148	441026148	784
75	481128591	481128591	481128591	481128591	481128591	481128591	481128591	736
76	524840254	524840254	524840254	524840254	524840254	524840254	524840254	688
77	572485967	572485967	572485967	572485967	572485967	572485967	572485967	640
78	624419793	624419793	624419793	624419793	624419793	624419793	624419793	592
79	681027665	681027665	681027665	681027665	681027665	681027665	681027665	544
80	742730244	742730244	742730244	742730244	742730244	742730244	742730244	496
81	809986056	809986056	809986056	809986056	809986056	809986056	809986056	448
82	883294891	883294891	883294891	883294891	883294891	883294891	883294891	400
83	963201521	963201521	963201521	963201521	963201521	963201521	963201521	352
84	1050299747	1050299747	1050299747	1050299747	1050299747	1050299747	1050299747	304
85	1145236814	1145236814	1145236814	1145236814	1145236814	1145236814	1145236814	256
86	1248718217	1248718217	1248718217	1248718217	1248718217	1248718217	1248718217	192
87	1361512946	1361512946	1361512946	1361512946	1361512946	1361512946	1361512946	144
88	1484459201	1484459201	1484459201	1484459201	1484459201	1484459201	1484459201	108
89	1618470619	1618470619	1618470619	1618470619	1618470619	1618470619	1618470619	81
90	1764543065	1764543065	1764543065	1764543065	1764543065	1764543065	1764543065	61
91	1923762030	1923762030	1923762030	1923762030	1923762030	1923762030	1923762030	46
92	2097310703	2097310703	2097310703	2097310703	2097310703	2097310703	2097310703	35
93	2286478756	2286478756	2286478756	2286478756	2286478756	2286478756	2286478756	26
94	2492671933	2492671933	2492671933	2492671933	2492671933	2492671933	2492671933	18
95	2717422497	2717422497	2717422497	2717422497	2717422497	2717422497	2717422497	13
96	2962400612	2962400612	2962400612	2962400612	2962400612	2962400612	2962400612	9
97	3229426756	3229426756	3229426756	3229426756	3229426756	3229426756	3229426756	7
98	3520485254	3520485254	3520485254	3520485254	3520485254	3520485254	3520485254	5
99	3837739017	3837739017	3837739017	3837739017	3837739017	3837739017	3837739017	3
